title,company,location,link
Python Developer,TechSoft,"Bangalore, India",https://indeed.com/job/python-developer-1
Data Analyst,DataWorks,"Hyderabad, India",https://indeed.com/job/data-analyst-2
Full Stack Engineer,InnovateX,"Chennai, India",https://indeed.com/job/fullstack-engineer-3
Machine Learning Engineer,AI Labs,"Pune, India",https://indeed.com/job/ml-engineer-4
Backend Developer,CloudNet,"Delhi, India",https://indeed.com/job/backend-developer-5
Frontend Developer,WebWorks,"Mumbai, India",https://indeed.com/job/frontend-developer-6
DevOps Engineer,SysOps Ltd,"Noida, India",https://indeed.com/job/devops-engineer-7
AI Researcher,DeepAI,"Bangalore, India",https://indeed.com/job/ai-researcher-8
Cloud Architect,CloudMasters,"Hyderabad, India",https://indeed.com/job/cloud-architect-9
Database Administrator,DataSecure,"Chennai, India",https://indeed.com/job/dba-10
Cybersecurity Analyst,SafeNet,"Pune, India",https://indeed.com/job/cybersecurity-analyst-11
Software Engineer,TechGlobal,"Delhi, India",https://indeed.com/job/software-engineer-12
Big Data Engineer,DataLake,"Bangalore, India",https://indeed.com/job/big-data-engineer-13
Business Analyst,BizSolutions,"Hyderabad, India",https://indeed.com/job/business-analyst-14
QA Engineer,QualityTech,"Mumbai, India",https://indeed.com/job/qa-engineer-15
Mobile App Developer,AppDev,"Chennai, India",https://indeed.com/job/mobile-app-developer-16
Data Scientist,DataVision,"Pune, India",https://indeed.com/job/data-scientist-17
System Administrator,NetSys,"Delhi, India",https://indeed.com/job/system-admin-18
Cloud Engineer,CloudNext,"Bangalore, India",https://indeed.com/job/cloud-engineer-19
AI Product Manager,SmartAI,"Hyderabad, India",https://indeed.com/job/ai-product-manager-20
Tech Lead,LeadTech,"Chennai, India",https://indeed.com/job/tech-lead-21
Solutions Architect,Innovarch,"Pune, India",https://indeed.com/job/solutions-architect-22
UI/UX Designer,DesignHub,"Mumbai, India",https://indeed.com/job/ui-ux-designer-23
Game Developer,PlayWorks,"Bangalore, India",https://indeed.com/job/game-developer-24
IT Support Engineer,HelpDeskPro,"Delhi, India",https://indeed.com/job/it-support-engineer-25




